Improvement action,Points achieved,Regulations,Group,Solutions,Assessments,Categories,Test status
Create a compliance policy for Android devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a compliance policy for Windows devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a device configuration profile for macOS devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a device configuration profile for Android enterprise devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a device configuration profile for iOS devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create a device configuration profile for Windows devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Enable Cloud App Security,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Cloud App Security,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Enable exploit protection,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Enable network protection,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Enable versioning for document libraries,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,SharePoint Online,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Implement outbound spam policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Monitor third-party integrated applications,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Prevent threats with behavioral blocking and containment capabilities,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Endpoint,"Data Protection Baseline, NIST 800-53",Protect against threats,None
Set up ATP safe links policies,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft Defender for Office 365,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect against threats,None
Use IRM for SharePoint Online,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Information Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Allow mailbox delegation only when authorized,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Disallow simple passwords on mobile devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Enforce multi-factor authenticator registration,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Require mobile devices to use alphanumeric password,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Require mobile devices to have minimum password length,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Block jail broken and rooted mobile devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Configure Intune for mobile device management,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create an Android app protection policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Create an iOS app protection policy,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Determine password lifetime requirements,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Disallow password reuse on mobile devices,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Disable unused accounts,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Enable audit log search,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Audit,"Data Protection Baseline, NIST 800-53",Discover and respond,None
Log off idle sessions,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Require mobile devices to block access and report policy violations,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Require mobile devices to lock upon inactivity,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Require mobile devices to use managed email profiles,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Require mobile devices to use a password,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Require mobile devices to wipe on multiple sign-in failures,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Intune,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage devices,None
Configure alternate contact info for all users,0/27,"NIST 800-53, Data Protection Baseline",Default Group,Azure Active Directory,"Data Protection Baseline, NIST 800-53",Control access,None
Enable client rules forwarding block,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Exchange Online Protection,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Configure external sharing links to expire,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,SharePoint Online,"Data Protection Baseline, ISO 27001, NIST 800-53",Protect information,None
Control anonymous calendar sharing,0/27,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Microsoft 365 admin center,"Data Protection Baseline, ISO 27001, NIST 800-53",Control access,None
Create and apply a retention policy,0/27,"EU GDPR, NIST 800-53",Default Group,Information governance,"EU GDPR, NIST 800-53",Govern information,None
Automatically apply retention labels,0/27,"EU GDPR, NIST 800-53",Default Group,Records management,"EU GDPR, NIST 800-53",Govern information,None
Lock a retention policy,0/27,"ISO 27001, EU GDPR, NIST 800-53",Default Group,Information governance,"EU GDPR, ISO 27001, NIST 800-53",Govern information,None
Create and publish a retention label,0/27,"ISO 27001, EU GDPR, NIST 800-53",Default Group,Records management,"EU GDPR, ISO 27001, NIST 800-53",Govern information,None
Enable mailbox archive,0/27,"ISO 27001, NIST 800-53",Default Group,Exchange Online Protection,"ISO 27001, NIST 800-53",Protect information,None
Retain data using event-driven records management,0/27,"ISO 27001, NIST 800-53",Default Group,Records management,"ISO 27001, NIST 800-53",Govern information,None
Retain ISO supporting documentation,0/27,"ISO 27001, NIST 800-53",Default Group,Records management,"ISO 27001, NIST 800-53",Govern information,None
Define a device value,0/27,ISO 27001,Default Group,Microsoft Defender for Endpoint,ISO 27001,Protect against threats,None
Retain security policies and procedures,0/27,ISO 27001,Default Group,Records management,ISO 27001,Govern information,None
Protect your network with network protection,0/27,ISO 27001,Default Group,Microsoft Defender for Endpoint,ISO 27001,Protect against threats,None
Deploy mandatory disclaimers,0/27,ISO 27001,Default Group,Exchange Online Protection,ISO 27001,Protect information,None
Restrict user to grant consent to unmanaged applications,0/27,ISO 27001,Default Group,Azure Active Directory,ISO 27001,Control access,None
Configure authentication contact info for all users,0/27,ISO 27001,Default Group,Azure Active Directory,ISO 27001,Control access,None
Manage endpoint security in Microsoft Intune,0/27,ISO 27001,Default Group,Intune,ISO 27001,Manage devices,None
Retain nonconformity details,0/27,ISO 27001,Default Group,Records management,ISO 27001,Govern information,None
Export audit records,0/27,"ISO 27001, NIST 800-53",Default Group,Audit,"ISO 27001, NIST 800-53",Discover and respond,None
Set system message for users attempting to log on,0/27,NIST 800-53,Default Group,Windows 10,NIST 800-53,Manage devices,None
Use a data connector to archive third-party data,0/27,NIST 800-53,Default Group,Information governance,NIST 800-53,Govern information,None
Implement standardized user ID,0/27,NIST 800-53,Default Group,Azure Active Directory,NIST 800-53,Control access,None
Retain HIPAA supporting documentation,0/27,NIST 800-53,Default Group,Records management,NIST 800-53,Govern information,None
Import PST files to Office 365 in Microsoft compliance center,0/27,NIST 800-53,Default Group,Information governance,NIST 800-53,Govern information,None
Govern policies and procedures,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Identify non-organizational users,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
Facilitate information sharing,0/9,"ISO 27001, NIST 800-53, Data Protection Baseline",Default Group,Compliance Manager,"Data Protection Baseline, ISO 27001, NIST 800-53",Manage compliance,None
